Date,Real,Naive,SNaive7,"ARIMA(1, 1, 1)"
2023-08-08,29765.4921875,29180.578125,29675.732421875,29177.013674921058
2023-08-09,29561.494140625,29765.4921875,29151.958984375,29178.00263974784
2023-08-10,29429.591796875,29561.494140625,29178.6796875,29177.72824919475
2023-08-11,29397.71484375,29429.591796875,29074.091796875,29177.804379481273
2023-08-12,29415.96484375,29397.71484375,29042.126953125,29177.783256959156
2023-08-13,29282.9140625,29415.96484375,29041.85546875,29177.789117451226
2023-08-14,29408.443359375,29282.9140625,29180.578125,29177.7874914443
2023-08-15,29170.34765625,29408.443359375,29765.4921875,29177.78794258364
2023-08-16,28701.779296875,29170.34765625,29561.494140625,29177.787817414
2023-08-17,26664.55078125,28701.779296875,29429.591796875,29177.787852142603
2023-08-18,26049.556640625,26664.55078125,29397.71484375,29177.787842507074
2023-08-19,26096.205078125,26049.556640625,29415.96484375,29177.787845180475
2023-08-20,26189.583984375,26096.205078125,29282.9140625,29177.787844438735
2023-08-21,26124.140625,26189.583984375,29408.443359375,29177.787844644532
2023-08-22,26031.65625,26124.140625,29170.34765625,29177.787844587434
2023-08-23,26431.640625,26031.65625,28701.779296875,29177.787844603277
2023-08-24,26162.373046875,26431.640625,26664.55078125,29177.787844598883
2023-08-25,26047.66796875,26162.373046875,26049.556640625,29177.7878446001
2023-08-26,26008.462890625,26047.66796875,26096.205078125,29177.787844599763
2023-08-27,26089.693359375,26008.462890625,26189.583984375,29177.787844599858
2023-08-28,26106.150390625,26089.693359375,26124.140625,29177.787844599832
2023-08-29,27727.392578125,26106.150390625,26031.65625,29177.78784459984
2023-08-30,27297.265625,27727.392578125,26431.640625,29177.787844599836
2023-08-31,25931.47265625,27297.265625,26162.373046875,29177.787844599836
2023-09-01,25800.724609375,25931.47265625,26047.66796875,29177.787844599836
2023-09-02,25868.798828125,25800.724609375,26008.462890625,29177.787844599836
2023-09-03,25969.56640625,25868.798828125,26089.693359375,29177.787844599836
2023-09-04,25812.416015625,25969.56640625,26106.150390625,29177.787844599836
2023-09-05,25779.982421875,25812.416015625,27727.392578125,29177.787844599836
2023-09-06,25753.236328125,25779.982421875,27297.265625,29177.787844599836
2023-09-07,26240.1953125,25753.236328125,25931.47265625,29177.787844599836
2023-09-08,25905.654296875,26240.1953125,25800.724609375,29177.787844599836
2023-09-09,25895.677734375,25905.654296875,25868.798828125,29177.787844599836
2023-09-10,25832.2265625,25895.677734375,25969.56640625,29177.787844599836
2023-09-11,25162.654296875,25832.2265625,25812.416015625,29177.787844599836
2023-09-12,25833.34375,25162.654296875,25779.982421875,29177.787844599836
2023-09-13,26228.32421875,25833.34375,25753.236328125,29177.787844599836
2023-09-14,26539.673828125,26228.32421875,26240.1953125,29177.787844599836
2023-09-15,26608.693359375,26539.673828125,25905.654296875,29177.787844599836
2023-09-16,26568.28125,26608.693359375,25895.677734375,29177.787844599836
2023-09-17,26534.1875,26568.28125,25832.2265625,29177.787844599836
2023-09-18,26754.28125,26534.1875,25162.654296875,29177.787844599836
2023-09-19,27211.1171875,26754.28125,25833.34375,29177.787844599836
2023-09-20,27132.0078125,27211.1171875,26228.32421875,29177.787844599836
2023-09-21,26567.6328125,27132.0078125,26539.673828125,29177.787844599836
2023-09-22,26579.568359375,26567.6328125,26608.693359375,29177.787844599836
2023-09-23,26579.390625,26579.568359375,26568.28125,29177.787844599836
2023-09-24,26256.826171875,26579.390625,26534.1875,29177.787844599836
2023-09-25,26298.48046875,26256.826171875,26754.28125,29177.787844599836
2023-09-26,26217.25,26298.48046875,27211.1171875,29177.787844599836
2023-09-27,26352.716796875,26217.25,27132.0078125,29177.787844599836
2023-09-28,27021.546875,26352.716796875,26567.6328125,29177.787844599836
2023-09-29,26911.720703125,27021.546875,26579.568359375,29177.787844599836
2023-09-30,26967.916015625,26911.720703125,26579.390625,29177.787844599836
2023-10-01,27983.75,26967.916015625,26256.826171875,29177.787844599836
2023-10-02,27530.78515625,27983.75,26298.48046875,29177.787844599836
2023-10-03,27429.978515625,27530.78515625,26217.25,29177.787844599836
